,cat,dataset,path
87,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1420/chars/recognized_E_1150_150_22_48.jpg
88,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1462/chars/recognized_4_776_483_30_55.jpg
89,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1462/chars/recognized_3_777_425_25_55.jpg
90,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1462/chars/recognized_2_782_603_26_58.jpg
91,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1462/chars/recognized_9_780_542_25_57.jpg
92,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1462/chars/recognized_7_784_677_23_58.jpg
93,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1462/chars/recognized_6_776_368_24_53.jpg
94,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1462/chars/recognized_U_768_247_28_52.jpg
95,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1462/chars/recognized_D_768_193_26_50.jpg
96,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1462/chars/recognized_3_774_312_24_52.jpg
97,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1462/chars/recognized_M_759_85_37_51.jpg
98,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1462/chars/recognized_E_768_140_23_49.jpg
99,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1430/chars/recognized_E_1016_144_20_48.jpg
100,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1430/chars/recognized_D_1014_196_24_49.jpg
101,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1430/chars/recognized_9_1016_540_24_56.jpg
102,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1430/chars/recognized_2_1016_600_26_56.jpg
103,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1430/chars/recognized_7_1017_673_23_57.jpg
104,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1430/chars/recognized_U_1013_249_25_51.jpg
105,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1430/chars/recognized_4_1014_483_28_53.jpg
106,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1430/chars/recognized_M_1009_91_35_49.jpg
107,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1430/chars/recognized_6_1015_369_25_52.jpg
108,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1430/chars/recognized_3_1016_425_24_53.jpg
109,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1430/chars/recognized_3_1015_313_24_52.jpg
110,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1441/chars/recognized_7_917_674_23_57.jpg
111,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1441/chars/recognized_D_914_197_24_50.jpg
112,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1441/chars/recognized_6_916_369_24_53.jpg
113,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1441/chars/recognized_2_916_601_26_56.jpg
114,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1441/chars/recognized_9_916_541_24_56.jpg
115,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1441/chars/recognized_4_914_482_28_55.jpg
116,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1441/chars/recognized_3_915_314_24_52.jpg
117,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1441/chars/recognized_M_908_92_36_49.jpg
118,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1441/chars/recognized_E_915_144_22_50.jpg
119,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1441/chars/recognized_3_916_426_24_53.jpg
120,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1441/chars/recognized_U_913_250_26_51.jpg
121,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1486/chars/recognized_U_718_183_29_56.jpg
122,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1486/chars/recognized_6_727_309_26_55.jpg
123,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1486/chars/recognized_E_717_74_24_51.jpg
124,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1486/chars/recognized_M_707_19_39_51.jpg
125,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1486/chars/recognized_7_738_624_25_59.jpg
126,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1486/chars/recognized_D_717_129_27_51.jpg
127,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1486/chars/recognized_9_733_487_26_58.jpg
128,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1486/chars/recognized_3_725_251_25_54.jpg
129,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1486/chars/recognized_3_729_368_26_56.jpg
130,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1486/chars/recognized_2_736_549_27_58.jpg
131,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1486/chars/recognized_4_730_426_30_58.jpg
132,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1465/chars/recognized_M_739_92_38_51.jpg
133,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1465/chars/recognized_7_767_683_23_59.jpg
134,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1465/chars/recognized_U_750_253_27_52.jpg
135,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1465/chars/recognized_3_756_318_24_52.jpg
136,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1465/chars/recognized_6_758_374_24_54.jpg
137,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1465/chars/recognized_2_765_609_26_58.jpg
138,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1465/chars/recognized_9_762_548_26_57.jpg
139,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1465/chars/recognized_E_748_146_24_49.jpg
140,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1465/chars/recognized_4_759_489_29_56.jpg
141,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1465/chars/recognized_3_759_431_25_55.jpg
142,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1465/chars/recognized_D_749_199_26_50.jpg
143,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1484/chars/recognized_7_730_633_25_58.jpg
144,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1484/chars/recognized_9_724_496_27_58.jpg
145,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1484/chars/recognized_U_710_195_29_53.jpg
146,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1484/chars/recognized_D_709_139_27_52.jpg
147,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1484/chars/recognized_4_722_436_30_57.jpg
148,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1484/chars/recognized_M_699_30_39_52.jpg
149,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1484/chars/recognized_E_709_85_24_51.jpg
150,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1484/chars/recognized_3_717_261_25_54.jpg
151,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1484/chars/recognized_3_720_378_27_55.jpg
152,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1484/chars/recognized_2_728_558_27_59.jpg
153,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1484/chars/recognized_6_719_319_26_55.jpg
154,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1463/chars/recognized_3_766_313_24_52.jpg
155,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1463/chars/recognized_7_775_678_24_59.jpg
156,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1463/chars/recognized_U_761_248_27_52.jpg
157,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1463/chars/recognized_2_774_604_26_59.jpg
158,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1463/chars/recognized_4_769_485_29_55.jpg
159,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1463/chars/recognized_9_772_544_25_56.jpg
160,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1463/chars/recognized_M_751_87_37_51.jpg
161,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1463/chars/recognized_3_769_426_25_55.jpg
162,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1463/chars/recognized_E_760_141_23_49.jpg
163,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1463/chars/recognized_6_768_369_24_54.jpg
164,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1463/chars/recognized_D_760_194_26_50.jpg
165,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1449/chars/recognized_M_876_96_36_49.jpg
166,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1449/chars/recognized_D_883_201_24_50.jpg
167,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1449/chars/recognized_U_883_254_26_51.jpg
168,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1449/chars/recognized_2_890_606_26_56.jpg
169,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1449/chars/recognized_4_887_488_28_54.jpg
170,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1449/chars/recognized_3_886_318_24_52.jpg
171,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1449/chars/recognized_3_888_430_24_54.jpg
172,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1449/chars/recognized_7_891_679_23_57.jpg
173,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1449/chars/recognized_9_889_545_25_56.jpg
174,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1449/chars/recognized_6_887_374_24_52.jpg
175,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1449/chars/recognized_E_884_149_21_48.jpg
176,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1432/chars/recognized_4_960_498_28_54.jpg
177,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1432/chars/recognized_U_960_266_25_50.jpg
178,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1432/chars/recognized_3_962_440_23_54.jpg
179,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1432/chars/recognized_9_961_555_25_56.jpg
180,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1432/chars/recognized_7_963_688_22_57.jpg
181,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1432/chars/recognized_M_955_109_35_49.jpg
182,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1432/chars/recognized_3_962_329_23_52.jpg
183,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1432/chars/recognized_D_960_213_24_49.jpg
184,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1432/chars/recognized_E_962_161_21_48.jpg
185,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1432/chars/recognized_2_961_615_26_56.jpg
186,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1432/chars/recognized_6_962_384_24_53.jpg
187,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1470/chars/recognized_4_752_481_29_55.jpg
188,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1470/chars/recognized_9_755_540_26_57.jpg
189,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1470/chars/recognized_U_743_243_28_53.jpg
190,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1470/chars/recognized_M_733_82_38_51.jpg
191,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1470/chars/recognized_E_742_136_23_50.jpg
192,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1470/chars/recognized_2_755_601_30_57.jpg
193,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1470/chars/recognized_3_748_308_25_53.jpg
194,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1470/chars/recognized_3_753_422_25_55.jpg
195,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1470/chars/recognized_6_751_365_25_54.jpg
196,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1470/chars/recognized_7_758_675_25_59.jpg
197,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1470/chars/recognized_D_742_189_26_51.jpg
198,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1431/chars/recognized_3_1004_430_24_53.jpg
199,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1431/chars/recognized_U_1001_254_25_51.jpg
200,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1431/chars/recognized_3_1004_318_23_51.jpg
201,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1431/chars/recognized_M_996_96_35_48.jpg
202,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1431/chars/recognized_D_1001_201_25_49.jpg
203,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1431/chars/recognized_E_1003_149_21_48.jpg
204,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1431/chars/recognized_2_1005_605_26_56.jpg
205,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1431/chars/recognized_6_1004_373_24_53.jpg
206,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1431/chars/recognized_4_1003_488_28_53.jpg
207,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1431/chars/recognized_7_1007_678_23_57.jpg
208,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1431/chars/recognized_9_1005_545_24_56.jpg
209,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1429/chars/recognized_3_1033_311_23_52.jpg
210,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1429/chars/recognized_M_1026_90_36_48.jpg
211,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1429/chars/recognized_4_1032_481_27_54.jpg
212,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1429/chars/recognized_9_1033_538_25_56.jpg
213,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1429/chars/recognized_U_1031_248_25_51.jpg
214,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1429/chars/recognized_E_1033_142_21_49.jpg
215,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1429/chars/recognized_D_1032_195_24_49.jpg
216,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1429/chars/recognized_6_1033_367_24_53.jpg
217,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1429/chars/recognized_7_1035_671_22_57.jpg
218,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1429/chars/recognized_2_1033_598_26_56.jpg
219,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1429/chars/recognized_3_1033_423_24_54.jpg
220,2,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1452/chars/recognized_2_875_606_26_57.jpg
221,D,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1452/chars/recognized_D_866_201_25_50.jpg
222,4,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1452/chars/recognized_4_871_488_28_55.jpg
223,9,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1452/chars/recognized_9_873_546_25_56.jpg
224,E,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1452/chars/recognized_E_866_149_22_49.jpg
225,6,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1452/chars/recognized_6_871_374_24_53.jpg
226,7,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1452/chars/recognized_7_877_680_22_57.jpg
227,U,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1452/chars/recognized_U_866_255_26_51.jpg
228,3,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1452/chars/recognized_3_872_430_24_54.jpg
229,M,lot1,/home/gopik/github/cnn/data/lot1/outputs/new2/frames/1452/chars/recognized_M_858_96_36_49.jpg
